AUTHOR,ODDS_RATIO,CI_1,CI_2
Li Xiang (a),1.17,1.13,1.22
Li Xiang (b),1.29,1.21,1.37
Li Xiang (c),1.22,0.91,1.64
Ward Ashley(a),1.03,1.03,1.03
Ward Ashley(b),1.02,1.02,1.03
Ward Ashley(c),1.01,1,1.01
"Vasileiou, Vasiliki",1.65,1.43,1.9
"Molina-Vega, Maria",1.783,1.34,2.371
"Zheng, Xiangrong",2.57,1.98,3.33
"Ha, Sandie (a)",4.75,3.95,5.71
"Ha, Sandie (b)",2.7,1.3,4.1
Sun Yongqing,1.04,0.946,1.142
"Kanner, Jenna ",5.06,3.34,7.68
"Katsarou, Anastesia",1.51,1.24,1.83
"Lawrence, Wayne R",1.02,0.96,1.08
